,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN
5137,5137,Renault,2021,999.0,3rd Party,5.0,10000.0,Manual,2nd Owner,67.0,Petrol,5.0,21.74,Hatchback,Chennai,kwid climber 1.0 mt opt,6WSK04EL7FM9KNR8S
5138,5138,MG,2021,1498.0,3rd Party,14.99,20000.0,Automatic,1st Owner,108.49,Petrol,5.0,14.82,SUV,Chennai,astor sharp cvt bsvi,XUJ81HXN91YWZJ2EU
5139,5139,Fiat,2012,1368.0,3rd Party,2.5,70000.0,Manual,2nd Owner,90.0,Petrol,5.0,16.0,Sedan,Chennai,linea 1.4 emotion,02EKRK1U7UWX39VPC
5140,5140,Skoda,2009,1798.0,3rd Party,6.0,60000.0,Manual,2nd Owner,160.0,Petrol,5.0,13.14,Sedan,Chennai,superb 1.8 tsi mt,V5XJL8T1X3VGHP8G1
5141,5141,Mahindra,2013,2179.0,3rd Party,4.9,100000.0,Manual,3rd Owner,120.0,Diesel,8.0,12.05,SUV,Chennai,scorpio vlx 2wd bsiv,C6X1952M2A2HLF972
5142,5142,Skoda,2022,999.0,3rd Party,13.0,20000.0,Automatic,1st Owner,113.98,Petrol,5.0,17.2,SUV,Chennai,kushaq 1.0 tsi ambition at bsvi,GNFLK58716101UBRF
5143,5143,Ford,2020,1194.0,3rd Party,5.92,32657.0,Manual,1st Owner,94.93,Petrol,5.0,18.5,Hatchback,Chennai,freestyle titanium,FBS77JV5XD5GGPZRR
5144,5144,Maruti,2018,998.0,3rd Party,4.64,44131.0,Automatic,1st Owner,67.0,Petrol,5.0,21.63,Hatchback,Chennai,celerio x amt zxi option bsiv,XHUKN22S3J6KUHST9
5145,5145,Hyundai,2015,1197.0,3rd Party,4.04,55003.0,Manual,2nd Owner,82.0,Petrol,5.0,18.9,Hatchback,Chennai,grand i10 magna,3Y2GTV0E9YCWYNNLY
5146,5146,Volkswagen,2012,1598.0,3rd Party,3.83,116470.0,Manual,2nd Owner,103.6,Diesel,5.0,20.54,Sedan,Chennai,vento diesel highline,PBGZ0V5C64Z602T91
5147,5147,Renault,2019,799.0,Comprehensive,4.38,33313.0,Manual,1st Owner,53.3,Petrol,5.0,25.17,Hatchback,Chennai,kwid rxt optional,9FYWSWHL43BRA6UER
5148,5148,Honda,2014,1198.0,3rd Party,4.57,62272.0,Manual,2nd Owner,86.7,Petrol,5.0,18.0,Sedan,Chennai,amaze vx i-vtech,0WHV8TUP1L0NHP2ET
5149,5149,Honda,2017,1497.0,3rd Party,7.76,58933.0,Manual,2nd Owner,117.3,Petrol,5.0,17.8,Sedan,Chennai,city i vtec v,6REFFBAK38975AS5A
5150,5150,Renault,2022,799.0,3rd Party,4.7,13896.0,Manual,1st Owner,53.26,Petrol,5.0,22.25,Hatchback,Chennai,kwid rxl,9GMXX9AM92039S79P
5151,5151,Maruti,2018,998.0,Comprehensive,4.74,66414.0,Automatic,2nd Owner,67.04,Petrol,5.0,23.1,Hatchback,Chennai,celerio zxi optional amt bsiv,EB43X151XS7L39AVM
5152,5152,Toyota,2020,1496.0,3rd Party,8.97,46953.0,Manual,1st Owner,105.94,Petrol,5.0,17.1,Sedan,Chennai,yaris g,DU69VHWLXYGS1N6CC
5153,5153,Maruti,2017,1248.0,3rd Party,6.78,85755.0,Manual,2nd Owner,88.5,Diesel,5.0,28.09,Sedan,Chennai,ciaz zdi plus shvs,WL2KY28XX698Z8FTX
5154,5154,Hyundai,2016,1197.0,3rd Party,6.07,35286.0,Manual,1st Owner,81.83,Petrol,5.0,18.6,Hatchback,Chennai,i20 asta 1.2,YYCPT0R43PDJ14AT2
