,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
4850,4850,4850,Volkswagen,2015,1197.0,Comprehensive,5.9,68002.0,Automatic,1st Owner,103.2,Petrol,5.0,18.19,Sedan,Ahmedabad,Vento,CY28TN1T5LRRMX109,1.2 TSI Highline AT
4851,4851,4851,Mercedes-Benz,2014,2143.0,Comprehensive,13.75,94000.0,Automatic,1st Owner,167.62,Diesel,5.0,14.84,Sedan,Ahmedabad,C-Class,7S20VPV615KVVHVXM,C 220 CDI BE Avantgare
4852,4852,4852,Mercedes-Benz,2018,1950.0,Comprehensive,41.5,69000.0,Automatic,1st Owner,191.7,Diesel,5.0,16.1,Sedan,Ahmedabad,E-Class,FAYD5T8H9TBGG0G65,Exclusive E 220 d BSIV
4853,4853,4853,Hyundai,2012,1197.0,Comprehensive,3.65,89000.0,Manual,1st Owner,82.85,Petrol,5.0,18.5,Hatchback,Ahmedabad,i20,LBW0N9CV4FPAUH33V,Sportz 1.2
4854,4854,4854,Ford,2015,1498.0,Comprehensive,5.75,76002.0,Manual,1st Owner,98.59,Diesel,5.0,22.77,SUV,Ahmedabad,Ecosport,CF7CWP3V8MEDNH92D,1.5 TDCi Titanium Plus BSIV
4855,4855,4855,Land,2017,1999.0,Comprehensive,33.5,3350000.0,Automatic,1st Owner,147.5,Diesel,5.0,12.63,SUV,Ahmedabad,Rover,JKS6ZDLR8EHMSGFV3,Discovery Sport TD4 HSE
4856,4856,4856,Toyota,2017,2393.0,Comprehensive,17.5,71000.0,Manual,1st Owner,147.8,Diesel,7.0,13.68,MUV,Ahmedabad,Innova,6BM8BFAP5857J60AE,Crysta 2.4 VX MT BSIV
4857,4857,4857,Toyota,2017,1364.0,Comprehensive,10.5,62000.0,Manual,1st Owner,87.2,Diesel,5.0,21.43,Sedan,Ahmedabad,Corolla,0LGRF54A01AY7B2HU,Altis D-4D GL
4858,4858,4858,Kia,2022,1493.0,3rd Party,18.75,35923.0,Automatic,1st Owner,113.43,Diesel,5.0,18.0,SUV,Ahmedabad,Seltos,Z851R8S75Z0WHFXML,GTX Plus Diesel AT
4859,4859,4859,Maruti,2022,1196.0,3rd Party,6.7,38401.0,Manual,1st Owner,73.0,Petrol,5.0,15.37,Minivans,Ahmedabad,Eeco,GCGXB2ZA3UBTLC9AX,5 Seater AC BSIV
